t1,t2,ph,
27.69,27.37,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.93,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.62,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.89,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.90,
27.69,27.31,8.89,
27.69,27.31,8.90,
27.69,27.31,8.90,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.90,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
